"account_id","district_id","frequency","date"
"1","18","POPLATEK MESICNE","24/3/1995"
"2","1","POPLATEK MESICNE","26/2/1993"
"3","5","POPLATEK MESICNE","7/7/1997"
"4","12","POPLATEK MESICNE","21/2/1996"
"5","15","POPLATEK MESICNE","30/5/1997"
"6","51","POPLATEK MESICNE","27/9/1994"
"7","60","POPLATEK MESICNE","24/11/1996"
"8","57","POPLATEK MESICNE","21/9/1995"
"9","70","POPLATEK MESICNE","27/1/1993"
"10","54","POPLATEK MESICNE","28/8/1996"
"11","76","POPLATEK MESICNE","10/10/1995"
"12","21","POPLATEK MESICNE","15/4/1997"
"13","76","POPLATEK MESICNE","17/8/1997"
"14","47","POPLATEK MESICNE","27/11/1996"
"15","70","POPLATEK MESICNE","2/10/1993"
"16","12","POPLATEK MESICNE","23/9/1997"
"17","1","POPLATEK MESICNE","8/1/1997"
"18","43","POPLATEK TYDNE","26/5/1993"
"19","21","POPLATEK MESICNE","7/4/1995"
"20","74","POPLATEK MESICNE","24/8/1996"
"21","54","POPLATEK MESICNE","6/12/1997"
"22","1","POPLATEK MESICNE","23/3/1994"
"23","30","POPLATEK MESICNE","22/5/1993"
"24","74","POPLATEK MESICNE","5/12/1996"
"25","68","POPLATEK MESICNE","28/7/1996"
"26","52","POPLATEK MESICNE","8/8/1993"
"27","73","POPLATEK MESICNE","26/9/1993"
"29","7","POPLATEK MESICNE","24/11/1994"
"30","36","POPLATEK MESICNE","4/3/1995"
"31","68","POPLATEK MESICNE","27/4/1994"
"32","5","POPLATEK MESICNE","28/8/1995"
"33","22","POPLATEK MESICNE","26/8/1993"
"34","67","POPLATEK TYDNE","17/9/1993"
"35","75","POPLATEK MESICNE","7/7/1993"
"36","1","POPLATEK MESICNE","1/7/1993"
"37","20","POPLATEK MESICNE","18/8/1997"
"38","19","POPLATEK TYDNE","8/8/1997"
"39","36","POPLATEK MESICNE","22/9/1993"
"40","64","POPLATEK MESICNE","25/10/1993"
"41","72","POPLATEK MESICNE","2/8/1997"
"42","39","POPLATEK MESICNE","16/8/1996"
"43","36","POPLATEK MESICNE","12/6/1994"
"44","32","POPLATEK MESICNE","10/5/1993"
"45","64","POPLATEK MESICNE","2/9/1997"
"47","45","POPLATEK MESICNE","8/8/1993"
"48","21","POPLATEK MESICNE","17/11/1996"
"49","1","POPLATEK MESICNE","6/4/1997"
"50","1","POPLATEK MESICNE","6/5/1994"
"51","67","POPLATEK MESICNE","11/5/1996"
"52","16","POPLATEK MESICNE","29/1/1997"
"53","77","POPLATEK MESICNE","7/6/1995"
"54","4","POPLATEK MESICNE","2/5/1995"
"55","20","POPLATEK MESICNE","19/2/1996"
"56","50","POPLATEK MESICNE","16/5/1994"
"57","1","POPLATEK MESICNE","21/5/1995"
"58","29","POPLATEK MESICNE","23/8/1996"
"59","43","POPLATEK MESICNE","27/3/1994"
"61","70","POPLATEK MESICNE","11/12/1993"
"62","47","POPLATEK MESICNE","28/3/1993"
"63","22","POPLATEK MESICNE","16/11/1996"
"64","64","POPLATEK MESICNE","11/3/1997"
"65","36","POPLATEK MESICNE","29/10/1996"
"66","48","POPLATEK PO OBRATU","3/12/1993"
"67","16","POPLATEK MESICNE","19/10/1994"
"68","37","POPLATEK PO OBRATU","20/12/1994"
"69","64","POPLATEK MESICNE","12/1/1996"
"70","8","POPLATEK MESICNE","18/2/1995"
"71","1","POPLATEK MESICNE","5/3/1994"
"72","1","POPLATEK TYDNE","20/6/1996"
"73","72","POPLATEK MESICNE","8/11/1993"
"75","1","POPLATEK MESICNE","13/8/1995"
"76","52","POPLATEK MESICNE","16/5/1996"
"77","63","POPLATEK MESICNE","19/11/1996"
"78","74","POPLATEK MESICNE","7/7/1993"
"79","3","POPLATEK MESICNE","29/11/1996"
"80","43","POPLATEK MESICNE","27/9/1995"
"81","74","POPLATEK MESICNE","18/7/1996"
"82","26","POPLATEK MESICNE","3/5/1994"
"83","26","POPLATEK MESICNE","16/4/1993"
"84","44","POPLATEK PO OBRATU","25/12/1995"
"85","68","POPLATEK MESICNE","23/3/1997"
"86","54","POPLATEK MESICNE","7/3/1993"
"88","31","POPLATEK MESICNE","3/7/1996"
"89","68","POPLATEK MESICNE","25/9/1997"
"90","1","POPLATEK MESICNE","13/7/1994"
"91","17","POPLATEK MESICNE","6/11/1996"
"93","2","POPLATEK MESICNE","12/6/1996"
"95","1","POPLATEK MESICNE","30/3/1995"
"96","68","POPLATEK MESICNE","18/2/1993"
"97","74","POPLATEK MESICNE","5/5/1996"
"98","55","POPLATEK MESICNE","2/5/1997"
"99","1","POPLATEK MESICNE","27/6/1995"
"100","41","POPLATEK MESICNE","28/12/1993"
"101","35","POPLATEK MESICNE","16/4/1996"
"102","11","POPLATEK MESICNE","16/10/1993"
"103","44","POPLATEK MESICNE","10/3/1996"
"104","37","POPLATEK MESICNE","15/4/1993"
"105","21","POPLATEK MESICNE","10/7/1997"
"106","63","POPLATEK MESICNE","27/11/1994"
"107","64","POPLATEK MESICNE","5/11/1993"
"108","53","POPLATEK MESICNE","10/3/1995"
"109","53","POPLATEK MESICNE","20/4/1997"
"110","36","POPLATEK MESICNE","17/7/1996"
"112","6","POPLATEK MESICNE","12/3/1993"
"113","55","POPLATEK MESICNE","22/7/1996"
"114","60","POPLATEK MESICNE","14/3/1997"
"115","68","POPLATEK MESICNE","19/3/1993"
"116","8","POPLATEK MESICNE","21/3/1996"
"117","31","POPLATEK MESICNE","5/9/1993"
"118","68","POPLATEK MESICNE","18/9/1997"
"119","27","POPLATEK MESICNE","25/5/1993"
"120","65","POPLATEK TYDNE","16/6/1995"
"121","55","POPLATEK MESICNE","11/10/1997"
"122","31","POPLATEK MESICNE","30/10/1996"
"123","21","POPLATEK MESICNE","13/3/1993"
"124","55","POPLATEK MESICNE","28/12/1997"
"125","2","POPLATEK PO OBRATU","7/9/1996"
"126","5","POPLATEK MESICNE","23/10/1993"
"127","29","POPLATEK MESICNE","2/2/1994"
"128","2","POPLATEK MESICNE","19/2/1993"
"129","74","POPLATEK MESICNE","1/10/1997"
"130","54","POPLATEK MESICNE","12/2/1997"
"131","52","POPLATEK MESICNE","13/6/1995"
"132","40","POPLATEK PO OBRATU","11/5/1996"
"133","64","POPLATEK TYDNE","11/10/1997"
"134","34","POPLATEK MESICNE","10/12/1997"
"135","75","POPLATEK MESICNE","15/6/1993"
"136","74","POPLATEK MESICNE","14/5/1996"
"137","70","POPLATEK MESICNE","19/7/1996"
"138","22","POPLATEK MESICNE","19/9/1995"
"139","38","POPLATEK TYDNE","15/5/1997"
"140","24","POPLATEK MESICNE","25/6/1996"
"141","38","POPLATEK MESICNE","6/3/1996"
"142","51","POPLATEK MESICNE","15/2/1993"
"143","21","POPLATEK MESICNE","27/11/1996"
"144","10","POPLATEK TYDNE","3/4/1997"
"145","31","POPLATEK MESICNE","3/1/1996"
"146","4","POPLATEK MESICNE","2/9/1993"
"148","8","POPLATEK MESICNE","21/6/1993"
"149","43","POPLATEK MESICNE","16/11/1997"
"150","73","POPLATEK MESICNE","16/3/1995"
"151","76","POPLATEK MESICNE","6/9/1993"
"152","1","POPLATEK MESICNE","12/4/1996"
"153","77","POPLATEK MESICNE","19/9/1993"
"154","46","POPLATEK MESICNE","21/6/1994"
"155","58","POPLATEK MESICNE","7/11/1995"
"156","64","POPLATEK MESICNE","22/10/1997"
"157","11","POPLATEK MESICNE","28/3/1997"
"158","37","POPLATEK MESICNE","15/3/1995"
"159","70","POPLATEK MESICNE","11/2/1997"
"160","23","POPLATEK MESICNE","4/9/1993"
"161","28","POPLATEK MESICNE","4/7/1994"
"162","60","POPLATEK MESICNE","25/8/1993"
"163","30","POPLATEK MESICNE","27/1/1993"
"164","60","POPLATEK MESICNE","13/9/1996"
"165","25","POPLATEK MESICNE","1/6/1993"
"166","17","POPLATEK MESICNE","20/8/1996"
"167","29","POPLATEK TYDNE","26/2/1996"
"168","31","POPLATEK MESICNE","27/4/1993"
"169","4","POPLATEK MESICNE","28/9/1995"
"170","59","POPLATEK MESICNE","2/7/1996"
"171","46","POPLATEK MESICNE","8/6/1996"
"172","13","POPLATEK MESICNE","30/8/1993"
"173","66","POPLATEK MESICNE","26/11/1993"
"174","52","POPLATEK MESICNE","4/9/1996"
"176","71","POPLATEK TYDNE","12/8/1996"
"177","1","POPLATEK MESICNE","26/9/1997"
"178","59","POPLATEK MESICNE","6/9/1997"
"179","1","POPLATEK TYDNE","22/9/1997"
"180","55","POPLATEK TYDNE","14/12/1993"
"181","21","POPLATEK MESICNE","11/6/1996"
"182","47","POPLATEK MESICNE","24/8/1996"
"183","43","POPLATEK MESICNE","12/12/1993"
"184","77","POPLATEK MESICNE","21/2/1996"
"185","32","POPLATEK MESICNE","4/7/1997"
"186","1","POPLATEK TYDNE","29/7/1993"
"187","5","POPLATEK MESICNE","28/3/1993"
"188","54","POPLATEK MESICNE","20/4/1993"
"189","76","POPLATEK MESICNE","16/4/1997"
"190","74","POPLATEK MESICNE","2/3/1995"
"191","41","POPLATEK MESICNE","17/3/1997"
"192","55","POPLATEK MESICNE","8/1/1993"
"193","69","POPLATEK MESICNE","22/12/1996"
"194","44","POPLATEK MESICNE","1/8/1996"
"195","70","POPLATEK MESICNE","27/2/1997"
"196","4","POPLATEK MESICNE","14/11/1993"
"197","1","POPLATEK MESICNE","25/2/1993"
"198","70","POPLATEK MESICNE","25/10/1993"
"199","70","POPLATEK MESICNE","26/10/1996"
"200","17","POPLATEK MESICNE","3/7/1994"
"201","63","POPLATEK MESICNE","2/11/1994"
