"loan_id","account_id","date","amount","duration","payments","status"
"4959","2","5/1/1994","80952","24","3373","A"
"4961","19","29/4/1996","30276","12","2523","B"
"4962","25","8/12/1997","30276","12","2523","A"
"4967","37","14/10/1998","318480","60","5308","D"
"4968","38","19/4/1998","110736","48","2307","C"
"4973","67","2/5/1996","165960","24","6915","A"
"4986","97","10/8/1997","102876","12","8573","A"
"4988","103","6/12/1997","265320","36","7370","D"
"4989","105","5/12/1998","352704","48","7348","C"
"4990","110","8/9/1997","162576","36","4516","C"
"4996","132","6/11/1996","88440","12","7370","A"
"5002","173","31/5/1994","104808","12","8734","A"
"5005","176","10/4/1997","27456","12","2288","A"
"5015","226","12/7/1998","109344","12","9112","C"
"5027","276","2/12/1998","160920","36","4470","C"
"5032","290","3/11/1994","123696","48","2577","A"
"5034","303","30/5/1998","112752","36","3132","C"
"5036","309","25/11/1998","91248","48","1901","C"
"5039","314","3/5/1997","66840","24","2785","C"
"5041","319","11/7/1997","369000","60","6150","C"
"5042","330","12/7/1998","331584","48","6908","C"
"5043","339","25/12/1997","468060","60","7801","C"
"5044","344","21/12/1994","100980","60","1683","C"
"5045","347","1/5/1995","187224","24","7801","B"
"5046","349","9/9/1998","42816","12","3568","C"
"5051","378","11/10/1997","230400","60","3840","C"
"5060","426","19/7/1994","252060","60","4201","D"
"5061","440","13/3/1998","84288","48","1756","C"
"5063","442","10/7/1997","357840","48","7455","D"
"5072","472","28/4/1997","196800","24","8200","D"
"5082","501","24/10/1996","262980","60","4383","C"
"5086","525","16/7/1997","210384","48","4383","C"
"5088","544","22/8/1996","91152","24","3798","A"
"5103","666","28/11/1997","12540","12","1045","A"
"5110","675","1/4/1997","102240","60","1704","C"
"5117","718","20/8/1997","76944","12","6412","A"
"5124","785","12/2/1998","156096","36","4336","C"
"5125","789","23/11/1995","73056","48","1522","C"
"5126","790","24/7/1994","208128","48","4336","B"
"5128","808","11/4/1996","215616","48","4492","D"
"5130","813","11/5/1994","24312","12","2026","A"
"5131","816","8/1/1995","48624","24","2026","A"
"5132","817","17/2/1995","538500","60","8975","C"
"5134","825","2/2/1997","53076","12","4423","A"
"5136","846","28/7/1996","187104","24","7796","A"
"5138","854","30/5/1995","87216","48","1817","C"
"5140","873","24/2/1998","178500","60","2975","C"
"5145","915","16/9/1995","309552","48","6449","C"
"5147","938","21/5/1998","22260","60","371","C"
"5148","940","29/5/1996","284280","60","4738","C"
"5151","960","24/5/1995","189060","60","3151","C"
"5154","993","1/7/1998","108720","60","1812","C"
"5158","1004","11/4/1998","188532","36","5237","C"
"5160","1011","18/12/1995","204000","60","3400","C"
"5161","1012","28/10/1994","98184","24","4091","A"
"5169","1068","24/9/1998","253200","60","4220","C"
"5170","1071","20/1/1994","253200","60","4220","C"
"5172","1083","16/4/1998","50976","36","1416","C"
"5174","1093","13/6/1997","385104","48","8023","C"
"5176","1106","12/11/1994","192552","24","8023","B"
"5189","1166","7/2/1994","149040","48","3105","A"
"5206","1242","7/9/1997","128544","24","5356","C"
"5207","1244","28/2/1997","35904","48","748","C"
"5208","1247","16/3/1995","99696","48","2077","D"
"5209","1250","25/11/1996","182640","48","3805","C"
"5210","1252","1/4/1997","148140","36","4115","C"
"5212","1256","29/5/1995","71064","36","1974","A"
"5214","1270","1/7/1997","74772","36","2077","C"
"5221","1284","5/12/1998","52512","12","4376","C"
